Disease or syndrome,Drug(s),Pharmacological class,Rationale,Recommendation,Quality of evidence,"Strength of
recommendation"
Heart failure,Cilostazol,Antiplatelet agents,Potential to increase mortality in older adults with heart failure.,Avoid,Low,Strong
Heart failure,Dextromethorphan/quinidine,N-Methyl-D-Aspartate receptor agonists,Concerns about QT prolongation.,Avoid,Low,Strong
Heart failure,Diltiazem,Nondihydropyridine calcium channel blockers,Potential to promote fluid retention and/or exacerbate heart failure.,Avoid in heart failure with reduced ejection fraction.,Moderate,Strong
Heart failure,Verapamil,Nondihydropyridine calcium channel blockers,Potential to promote fluid retention and/or exacerbate heart failure.,Avoid in heart failure with reduced ejection fraction.,Moderate,Strong
Heart failure,Dronedarone,Antiarrhythmics,Potential to increase mortality in older adults with heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,High,Strong
Heart failure,Celecoxib,"Non-steroidal anti-inflammatory drugs, COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Low,Strong
Heart failure,Etoricoxib,"Non-steroidal anti-inflammatory drugs, COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Low,Strong
Heart failure,Parecoxib,"Non-steroidal anti-inflammatory drugs, COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Low,Strong
Heart failure,Aspirin,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Diclofenac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Ibuprofen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Indomethacin,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Ketoprofen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Naproxen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Mefenamic acid,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Piroxicam,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Diflunisal,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
