Drug(s),Pharmacological class,Rationale,Recommendation,Quality of evidence,Strength of recommendation
Dabigatran     ,Direct thrombin inhibitors,Increased risk of GI bleeding compared with warfarin (based on head-to-head clinical trials) and of GI bleeding and major bleeding compared with apixaban (based on observational studies and meta-analyses) in older adults when used for long-term treatment of nonvalvular atrial fibrillation or VTE.                        ,"Use caution in selecting dabigatran over other DOACs (e.g., apixaban) for long-term treatment of nonvalvular atrial fibrillation or VTE. 	      
When selecting among DOACs and choosing a dosage, pay special consideration to kidney function, indication, and body weight.		",Moderate,Strong
Prasugrel,Antiplatelets,"Increased risk of major bleeding in older adults compared with clopidogrel, especially among those 75 years old and older. However, this risk may be offset by cardiovascular benefits in select patients.","Use with caution, particularly in adults 75 years old and older.

If Prasugrel is used, consider a lower dose (5 mg) for those 75 years old and older.",Moderate,Strong
Ticagrelor,Antiplatelets,"Increased risk of major bleeding in older adults compared with clopidogrel, especially among those 75 years old and older. However, this risk may be offset by cardiovascular benefits in select patients.","Use with caution, particularly in adults 75 years old and older.

If Prasugrel is used, consider a lower dose (5 mg) for those 75 years old and older.",Moderate,Strong
Mirtazapine        ,"Noradrenergic, specific serotonergic antidepressants",May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Duloxetine,Serotonin and norepinephrine reuptake inhibitors,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Venlafaxine,Serotonin and norepinephrine reuptake inhibitors,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Desvenlafaxine,Serotonin and norepinephrine reuptake inhibitors,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Escitalopram,Selective serotonin re-uptake inhibitors,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Fluoxetine,Selective serotonin re-uptake inhibitors,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Fluvoxamine,Selective serotonin re-uptake inhibitors,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Paroxetine,Selective serotonin re-uptake inhibitors,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Sertraline,Selective serotonin re-uptake inhibitors,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Vortioxetine,Selective serotonin re-uptake inhibitors,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Citalopram,Selective serotonin re-uptake inhibitors,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Dapoxetine,Selective serotonin re-uptake inhibitors,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Trazodone,Selective serotonin re-uptake inhibitors,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
Amitriptyline,Tricyclic antidepressants,May exacerbate or cause SIADH or hyponatremia; monitor sodium levels closely when starting or changing dosages in older adults.,Use with caution,Moderate,Strong
