Drug,Pharmacological class,Interacting Drug or Class,Rationale,Recommendation,Quality of Evidence,Strength of Recommendation
Enalapril,Angiotensin converting enzyme inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Lisinopril,Angiotensin converting enzyme inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Captopril,Angiotensin converting enzyme inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Benazepril,Angiotensin converting enzyme inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Fosinopril,Angiotensin converting enzyme inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Moexipril,Angiotensin converting enzyme inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Perindopril,Angiotensin converting enzyme inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Quinapril,Angiotensin converting enzyme inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Ramipril,Angiotensin converting enzyme inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Trandolapril,Angiotensin converting enzyme inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Imidapril,Angiotensin converting enzyme inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Valsartan,Angiotensin II subtype 1 receptor blockers; Angiotensin II receptor type 1 receptor blockers,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
