Drug,Pharmacological class,CrCl (mL/min) at which action is required,Rationale,Recommendation,Quality of evidence,Strength of recommendation
Ciprofloxacin,Fluoroquinolone antibiotics,<30,"Increased risk of CNS effects (e.g. seizures, confusion) and tendon rupture.",Dosages used to treat common infections typically require reduction when CrCl <30 mL/min.,Moderate,Strong
Nitrofurantoin,Nitrofuran antibiotics,<30,"Potential for pulmonary toxicity, hepatoxicity, and peripheral neuropathy, especially with long-term use.",Avoid if CrCl <30mL/min.,Low,Strong
Trimethoprim/sulfamethoxazole,Sulfonamide antibiotics,<30,"Increased risk of worsening of kidney function and hyperkalemia; risk of hyperkalemia especially prominent with concurrent use of an ACE, ARB, or ARNI.","Reduce dosage if CrCl is 15-29 mL/min.
Avoid if CrCl <15mL/min.",Moderate,Strong
Amiloride,Potassium-sparing diuretics,<30,Hyperkalemia and hyponatremia.,Avoid.,Moderate,Strong
Dabigatran,Direct thrombin inhibitors,<30,Lack of evidence for efficacy and safety in individuals with a CrCl <30mL/min. Label dose for patients with CrCl 15-30 mL/min based on pharmacokinetic data.,Avoid when CrCl <30mL/min; dose adjustment is advised when CrCl >30mL/min in the presence of drug-drug interactions.,Moderate,Strong
Dofetilide,Antiarrhythmics,<60,QTc prolongation and torsades de pointes.,"Reduce dose if CrCl is 20-59 mL/min.
Avoid if CrCl <20mL/min.",Moderate,Strong
Edoxaban,Factor Xa inhibitors,"15-50
<15 or >95",Lack of evidence of efficacy or safety in patients with CrCl <30mL/min.,"Reduce dosage if CrCl is 15-50 mL/min.
Avoid if CrCl <15 or >95 mL/min.",Moderate,Strong
Enoxaparin,Low molecular weight heparins,<30,Increased risk of bleeding.,Reduce dose.,Moderate,Strong
Fondaparinux,Factor Xa inhibitors,<30,Increased risk of bleeding.,Avoid.,Moderate,Strong
Rivaroxaban,Factor Xa inhibitors,<50,Lack of efficacy or safety evidence in people with CrCl <15mL/min; limited evidence for CrCl 15-30mL/min.,"Avoid if CrCl <15mL/min.
Reduce the dose if CrCl is 15-50 mL/min following manufacturer dosing recommendations based on indication-specific dosing.",Moderate,Strong
Spironolactone,Potassium-sparing diuretics,<30,Hyperkalemia.,Avoid.,Moderate,Strong
Triamterene,Potassium-sparing diuretics,<30,Hyperkalemia and hyponatremia.,Avoid.,Moderate,Strong
Baclofen,Skeletal muscle relaxants,eGFR <60,Increased risk of encephalopathy requiring hospitalization in older adults with eGFR <60mL/min or who require chronic dialysis.,"Avoid baclofen in older adults with impaired kidney function (eGFR <60mL/min). When baclofen cannot be avoided, use the lowest effective dose and monitor for signs of CNS toxicity, including altered mental status.",Moderate,Strong
Duloxetine,Serotonin and norepinephrine reuptake inhibitors,<30,"Increased GI adverse effects (nausea, diarrhea).",Avoid,Moderate,Weak
Gabapentin,Antiepileptics,<60,CNS adverse effects.,Reduce dose.,Moderate,Strong
Levetiracetam,Antiepileptics,<=80,CNS adverse effects.,Reduce dose.,Moderate,Strong
Diclofenac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Diflunisal,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Etodolac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Flurbiprofen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Ibuprofen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Indomethacin,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Ketorolac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Meloxicam,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Nabumetone,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Naproxen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Oxaprozin,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Piroxicam,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Sulindac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Celecoxib,"Non-steroidal anti-inflammatory drugs, COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Magnesium salicylate,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",<30,May increase risk of acute kidney injury and a further decline in kidney function.,Avoid.,Moderate,Strong
Pregabalin,Antiepileptics,<60,CNS adverse effects.,Reduce dose.,Moderate,Strong
Tramadol,Opioids,<30,CNS adverse effects.,"Immediate release: reduce dose
Extended-release: avoid",Low,Weak
Cimetidine,H2-receptor antagonists,<50,Mental status changes.,Reduce dose.,Moderate,Strong
Famotidine,H2-receptor antagonists,<50,Mental status changes.,Reduce dose.,Moderate,Strong
Nizatidine,H2-receptor antagonists,<50,Mental status changes.,Reduce dose.,Moderate,Strong
Colchicine,Anti-gout agents,<30,"GI, neuromuscular, and bone marrow toxicity.",Reduce dose; monitor for adverse effects.,Moderate,Strong
Probenecid,Uricosurics,<30,Loss of effectiveness.,Avoid.,Moderate,Strong
